place_id,cuisine,avg_price
001f28ef-599a-44b9-ba09-156451d43132,ایرانی,
00c87129-25e4-487d-9c29-a08422bf150c,ایرانی,
02207cdc-adaa-47c4-aaed-0f97e7bfb835,ایرانی,
02af52bf-e788-4d60-83a9-ef386986d575,ایرانی,
03e4fe6e-776c-48f1-b622-016b99b88c31,ایرانی,
0421898f-54d9-4e73-b439-6fb8610483bb,ایرانی,
04452ae6-7130-42eb-b18e-c500a64b1bee,ایرانی,
0454c3b8-fbca-4aa6-a5aa-580080ed8d59,ایرانی,
0511046e-5f8f-41e8-ab24-72ef8d5b3bbe,ایرانی,
051fed82-b959-4e45-a646-a5cc13c52795,ایرانی,
0569a233-dbca-4abf-9006-2751c798c01c,ایرانی,
05731181-1561-4782-bb6a-4ffa985da51f,ایرانی,
05abc159-75c7-4a8a-bb09-6c758bcdb3f7,ایرانی,
05c00824-1a84-4140-8cad-fa1e5bae0bf1,ایرانی,
05ebb565-f0ed-48fa-ad1c-ea0a762eb95f,ایرانی,
063b2b19-daed-49f9-9241-cf2f8ef037fc,ایرانی,
0683fb99-44c8-4bba-bb8d-e793d12a324c,ایرانی,
07a2674c-c9e9-4a4a-9d46-27c580659e33,ایرانی,
07cbde9b-e8ee-452c-8a3e-7b9a1c9e1a22,ایرانی,
07cef107-4f8e-4432-baa7-45f3c9e06a22,ایرانی,
083064d5-b88b-4c82-a5f6-e85916ba71a2,ایرانی,
084aa31f-54cf-4950-8e57-de521328c508,ایرانی,
08924b0c-c5d1-437c-9450-dddc94236ce1,ایرانی,
08b843f9-89dc-45af-8ad1-ae74da0aa97e,ایرانی,
08f4efc1-608e-450b-a4fd-4d2b4ca1cc37,ایرانی,
0917735f-5fa5-4794-a590-303dc85e96ac,ایرانی,
092a04f3-196b-4d02-a572-d5cd5448d765,ایرانی,
099289f6-f21e-4184-83cc-1f0708e562fc,ایرانی,
09930741-5068-4649-ba80-38ae02a62d8d,ایرانی,
0a625d41-7d59-4d26-9d02-43cbe56eda21,ایرانی,
0a7c750a-87d9-4cde-9a29-7d64d677c71f,ایرانی,
0a81badd-9f97-4677-852a-b1e325b2f1fe,ایرانی,
0b5f3954-3136-406a-90a8-778e2d615b9e,ایرانی,
0bc8aed8-0ac7-46bf-8aea-d70a56ee1cd8,ایرانی,
0be97bde-0c2a-4773-a990-71b9459f20c0,ایرانی,
0bf1714b-79a8-4d17-b56b-ee3da8265476,ایرانی,
0c0bf68e-e7c0-450a-9d3d-d26035a78b25,ایرانی,
0c9dd469-88a8-4de1-a98c-01b9128b437f,ایرانی,
0d42175e-473d-4640-83f2-3d900becdbc2,ایرانی,
0d6148af-2b25-49cd-8408-764295d32e51,ایرانی,
0d75c434-8a03-4552-9bc4-a58fb3bdd37b,ایرانی,
0e09381f-611c-42c7-9363-4cba5d09febe,ایرانی,
0e0d8f64-0770-400c-a23c-b58bf837afa4,ایرانی,
0e675ac2-1ab4-476d-9bfa-77d595259e63,ایرانی,
0e82036a-b1f7-4e0b-8f31-ee55983a4441,ایرانی,
0fb24d09-f607-4e23-bffb-d7b4a1787abb,ایرانی,
0fb3147e-1324-4b77-9f87-e6bfe6c2e217,ایرانی,
0fbbfaf8-c243-4847-9856-0fb065853f6d,ایرانی,
103d9055-4e66-469e-b5d2-26b57ca92e0a,ایرانی,
105ae642-97b5-459f-b55a-06d05ed23ccd,ایرانی,
105bbc62-6aa8-4fa6-879c-5bdf4a2bf7f2,ایرانی,
108931db-ffb9-4707-a98a-e2af10646780,ایرانی,
10b50500-beee-472e-b158-e51edafef3e6,ایرانی,
10dd9304-58f6-409a-903d-67191d1b92ce,ایرانی,
11115442-e347-44ce-9e92-f7efc7a66013,ایرانی,
112a2ac8-d726-4ceb-abb2-c852c8461c39,ایرانی,
1139fb3b-c296-4cf0-87fd-4242264ea5ef,ایرانی,
11460e48-4edd-4822-b2ee-02fc219e7cf3,ایرانی,
11f35a1c-ffc4-4354-b2f8-7c5391ba5a61,ایرانی,
129e60e5-195f-4ad9-8631-451026938fa4,ایرانی,
12fadb48-c060-4171-849b-f6649e08e67a,ایرانی,
13135d2d-a5f7-41bb-98b2-69c286212042,ایرانی,
131dc400-f03c-4e86-ae6d-67f942957676,ایرانی,
131eeb4b-9792-47c7-97e1-78167a683533,ایرانی,
1350f8df-30cd-498b-8111-640e110e03fb,ایرانی,
136b5891-1698-4b5b-979e-5b8c1cb43048,ایرانی,
13b764b3-273c-4ef6-936f-65f160bf5df9,ایرانی,
13e397c9-5498-4921-ab6e-4d3006577056,ایرانی,
13f09a6f-fb5d-44b0-8fbe-ac5a60185c43,ایرانی,
143eada8-38d6-4d95-9af9-fd9852143cd6,ایرانی,
1448dfd6-b307-4258-ae22-6b48df76c65f,ایرانی,
149574f6-f73a-4468-986a-88f75881025d,ایرانی,
14aa40c7-4b88-4be7-a72c-b1c3ddfbed5d,ایرانی,
1592bc59-4ccf-4c3b-bb5b-e52dff2a71c4,ایرانی,
15b60db7-c0f3-4445-973c-be43bdd640d2,ایرانی,
15faeb50-d8d9-477d-91a6-88225e0c1092,ایرانی,
1675224e-23a3-4f1a-8736-0412b2dd2091,ایرانی,
1732aae8-5c23-49a7-9170-a5559eb074bc,ایرانی,
17784c37-87fb-413a-8efd-225642ae68cc,ایرانی,
1792f601-040c-4fff-b5da-7e53b42ff1e3,ایرانی,
17c56945-8313-4c93-89f5-1e5a0a11b97d,ایرانی,
19092e66-d790-455a-a078-20d64fd59921,ایرانی,
194b876a-2c61-4978-83b4-522e4aafffdb,ایرانی,
199e9edd-0f12-492d-90da-c1ef37ea61ed,ایرانی,
1a73c16f-0816-4683-9b97-ef738b9d685a,ایرانی,
1ad53ef5-de1d-43e4-bf86-b641998d7a8b,ایرانی,
1b15fac3-f1cd-4059-b789-327383bc0f02,ایرانی,
1b24c68f-242a-42ed-83ab-9c1ea1d28479,ایرانی,
1b8eb5fe-5e3e-4bcf-a1fd-d8470eef11f4,ایرانی,
1c431bc2-3532-4993-b3e8-28a99fbc5317,ایرانی,
1c9d9b12-c988-4fdb-930f-e4f71c691eac,ایرانی,
1ce068ea-d1b7-454d-a14e-71c0e1dd4158,ایرانی,
1d49de40-071d-4013-974e-d186c01ca5df,ایرانی,
1d4b9a11-876c-48f8-8dbe-88b40ef7ffcb,ایرانی,
1db8d353-efc4-48a8-a188-b69ed6756260,ایرانی,
1dd93f6e-f683-4dad-9133-c76b9068961b,ایرانی,
1ddc7262-9072-4dff-be88-15503d797f1a,ایرانی,
1df81911-1b69-42a2-b528-537d8a9b2b11,ایرانی,
1dff0407-25d7-4267-959c-032d9430a226,ایرانی,
1e50c796-6c3b-4f93-8ffe-40d201d3add1,ایرانی,
1eb4c4f0-e1e0-4271-80fd-8dbd7449bdd2,ایرانی,
1edd38ad-4d60-40b8-9365-e18bb5949966,ایرانی,
1eed7a85-0d55-4081-a903-a641762c2600,ایرانی,
1f007775-2e10-437c-bdf4-fb4864777224,ایرانی,
1fa15a34-1999-4471-a06a-d959d91ebf6a,ایرانی,
1fa9ee89-94f1-4645-a55b-c77b14c1f857,ایرانی,
201920c1-a4f3-40ab-9775-5a7928d0ee08,ایرانی,
20220146-5488-4d2d-ab43-9dc1ad1f02e8,ایرانی,
20d78626-309d-4dcf-8245-c30fa6f5edd4,ایرانی,
21029a91-d83f-4af7-817b-55bfed7641bd,ایرانی,
2133f833-82cd-46fe-9531-e2ee0380202d,ایرانی,
21aa4fa8-2954-4709-a35b-a4f71c2b662f,ایرانی,
21b765d2-5f3c-4612-8f66-8b7d89c174eb,ایرانی,
21c017c1-d30d-4eaa-8f64-cc6d98e8c19b,ایرانی,
21e454ea-d5d0-4437-b4a4-68998e0f2f2d,ایرانی,
21f902cf-024c-4228-9978-9707d449a55f,ایرانی,
2267ace0-f8bb-4784-8a14-20179fb9514a,ایرانی,
22b56b0c-2d19-4601-b4bc-9d0dd51c9ba7,ایرانی,
22c37689-1171-4256-abbd-8fdf02a233d1,ایرانی,
22c9c529-34eb-4924-bc9a-a0ae10d5ae94,ایرانی,
22d20edf-84fb-4412-a8d9-25585f4d48f7,ایرانی,
234aeb56-4922-44bc-aec5-f4afe59f3081,ایرانی,
23b06f03-dc7c-469f-8b4c-898d5eb71cc6,ایرانی,
23eb58f2-60d8-4388-8f26-c12ded92d408,ایرانی,
24bf8aa1-24f1-4567-a1a2-93628ec7eb87,ایرانی,
