place_id,type,city,address,latitude,longitude
06b2333b-731c-5b0a-93e7-2e4e47a2edb6,entertainment,نوده خاندوز,گلستان,37.0763889,55.2625
06cfb68e-c809-414b-84f7-118fdd039f2b,hospital,بناب,آذربایجان شرقی، بناب، بلوار ولیعصر,37.3692774,46.0759305
0745fd79-13a5-50eb-904e-00dfcb159cf8,entertainment,خور,فارس,27.6459069,54.345362
0751e5fb-949b-4d66-8f57-ef7803b05cc9,hospital,هادیشهر,آذربایجان شرقی، جلفا، میدان امام علی,38.8315518,45.6890685
079bc960-ff0d-5539-bb4e-dbbdb72f7a1a,entertainment,قره ضیاءالدین,آذربایجان غربی,38.8900366,45.0282295
07a0ae07-ab78-5466-aea2-98f2b915c4c9,entertainment,کورده,فارس,27.7819745,54.4232386
07a2674c-c9e9-4a4a-9d46-27c580659e33,food,باسمنج,آذربایجان شرقی، محله باغمیشه، بلوار باغمیشه,38.0765113,46.3727607
07cbde9b-e8ee-452c-8a3e-7b9a1c9e1a22,food,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر، شهریار شمالی,38.0630378,46.3615989
07cef107-4f8e-4432-baa7-45f3c9e06a22,food,مرند,آذربایجان شرقی، مرند، شهید کسایی,38.4373048,45.7644149
07eb97d2-3d5d-5844-9389-4367a76c8054,entertainment,زیاران,قزوین,36.1206422,50.5280819
08224462-cdf7-516e-a088-f4e5049556b0,entertainment,گلستان,تهران,35.5214193,51.1767192
083064d5-b88b-4c82-a5f6-e85916ba71a2,food,تبریز,آذربایجان شرقی، تبریز، محله استادان، نیکان، ۲۵,38.0438079,46.3214874
0838c85e-898a-4bc0-8d2b-5bd7843933e6,hospital,جلفا,آذربایجان شرقی، جلفا، بلوار ولایت فقیه,38.832984,45.6870457
084aa31f-54cf-4950-8e57-de521328c508,food,تبریز,آذربایجان شرقی، تبریز، محله زعفرانیه، میرزا کوچک خان، صائب تبریزی، هجده متری اول غربی,38.0489661,46.337291
08924b0c-c5d1-437c-9450-dddc94236ce1,food,باسمنج,آذربایجان شرقی، تبریز - بستان آباد,38.0294969,46.4315164
08b843f9-89dc-45af-8ad1-ae74da0aa97e,food,بناب,آذربایجان شرقی، بناب، خیابان مطهری,37.3376884,46.065319
08e13cfe-d582-4117-8ac0-4beb0e788959,hospital,اسکو,آذربایجان شرقی، اسکو، خیابان امام,37.916751,46.1227065
08f4efc1-608e-450b-a4fd-4d2b4ca1cc37,food,باسمنج,آذربایجان شرقی، محله باغمیشه، شهدای بارنج,38.0671463,46.3789939
0903a5fb-d074-5771-abaa-8c0061f237ab,entertainment,پاسخن,فارس,28.7897188,54.3212945
0910f264-4917-5996-871a-e4d730b57a5c,entertainment,شلمان,گیلان,37.1559178,50.2161864
0917735f-5fa5-4794-a590-303dc85e96ac,food,باسمنج,آذربایجان شرقی، محله باغمیشه، شهریار، شهریار۳,38.0695533,46.3886756
092a04f3-196b-4d02-a572-d5cd5448d765,food,تبریز,آذربایجان شرقی، تبریز، محله زعفرانیه، میرزا کوچک خان، صائب تبریزی,38.0476074,46.3381423
092af05d-9324-4559-bc79-2eec1c64160f,hospital,باسمنج,آذربایجان شرقی، محله باغمیشه، خیابان باغمیشه، کرمزاده، کرم زاده ٢,38.0610567,46.383112
09889ce5-7b80-5789-be4c-5a8d91d9ae9a,entertainment,نیر,اردبیل,38.034005,47.9991069
099289f6-f21e-4184-83cc-1f0708e562fc,food,بناب,آذربایجان شرقی، بناب، بلوار پاسداران,37.3415184,46.0844116
09930741-5068-4649-ba80-38ae02a62d8d,food,جلفا,آذربایجان شرقی، جلفا، بلوار امام خمینی، خیابان سپاه,38.9361477,45.6230906
09c12c65-05b4-4113-8f69-0bd64b2cc393,hospital,هادیشهر,آذربایجان شرقی، جلفا، بلوار ولایت فقیه,38.832984,45.6870457
0a22c020-c966-42f8-a90a-123a91505729,hospital,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر جنوبی، بولوار ملکی تبریزی، دانش,38.0503654,46.3549652
0a31e841-705a-5a25-baab-ed9f91e32159,entertainment,حویق,گیلان,38.1479478,48.8945515
0a625d41-7d59-4d26-9d02-43cbe56eda21,food,تبریز,آذربایجان شرقی، تبریز، محله ولیعصر، پروین اعتصامی، هاشمی، جانفشان,38.0618782,46.3650817
0a6de5ef-f6a9-577a-b720-65a6e9203f82,entertainment,جیرنده,گیلان,36.7021301,49.7957151
0a7c750a-87d9-4cde-9a29-7d64d677c71f,food,مرند,آذربایجان شرقی، مرند، بلوار آیت اله مرندی، امام حسن عسگری,38.4280869,45.7502085
0a81badd-9f97-4677-852a-b1e325b2f1fe,food,شبستر,آذربایجان شرقی، شبستر، شهید مهدی باکری,38.1771469,45.700138
0a871930-c237-45d1-8e5a-3aaf0aae23c3,hospital,تبریز,آذربایجان شرقی، تبریز، پرستار,38.0551252,46.3240284
0a897bd3-1d64-4441-b919-68d0df0ee689,hospital,بناب,آذربایجان شرقی، بناب، خیابان مطهری، حافظ، شهید تیموری,37.3157461,46.0145006
0abad6a2-fa06-4052-8baf-e7194d52319e,hospital,مرند,آذربایجان شرقی، مرند، خیابان امام خمینی,38.4235382,45.7736244
0abb29a9-626d-5ca6-844b-3302aff33a5d,entertainment,شیرگاه,مازندران,36.2995295,52.8865124
0ac5251f-a58a-5d3d-91fc-e3579b87a17f,entertainment,رستاق,فارس,28.4462401,55.0760339
0ac985c4-f01a-5c75-a2a5-b1b8295202cc,entertainment,سرباز,سیستان و بلوچستان,26.6321167,61.2570288
0b5f3954-3136-406a-90a8-778e2d615b9e,food,تبریز,آذربایجان شرقی، تبریز، محله عباسی، عباسى، انقلاب، کوچه بهمن,38.077568,46.3481636
0bc8aed8-0ac7-46bf-8aea-d70a56ee1cd8,food,تبریز,آذربایجان شرقی، تبریز، محله پرواز، پرواز,38.0425415,46.3675842
0be97bde-0c2a-4773-a990-71b9459f20c0,food,مرند,آذربایجان شرقی، مرند، چایکنار غربی، خیابان کاشانی,38.4291725,45.784233
0bf1714b-79a8-4d17-b56b-ee3da8265476,food,ایلخچی,آذربایجان شرقی، آذرشهر، دانشگاه مدنی آذربایجان، فرهنگ، صائب تبریزی,37.8116977,45.945295
0c0bf68e-e7c0-450a-9d3d-d26035a78b25,food,بناب,آذربایجان شرقی، بناب، بلوار امام خمینی (ره),37.3539295,46.0565341
0c365098-a907-5234-98b3-4e47f8bee08a,entertainment,,قم,34.6399443,50.8759419
0c90e91f-df25-56c2-8e2e-bdf5f300c79e,entertainment,فاضل آباد,گلستان,36.900353,54.7501997
0c9dd469-88a8-4de1-a98c-01b9128b437f,food,بناب,آذربایجان شرقی، بناب، خیابان دانشجو,37.3383251,46.0565075
