city_id,name_fa,name_en,province_id,latitude,longitude
369,ترکمانچای,Torkamanchay,1,37.5816929,47.3911101
370,زرنق,Zarnaq,1,38.0922769,47.082889
371,سیس,Sis,1,38.1997037,45.8124325
372,آبیش احمد,Abish Ahmad,1,39.0431974,47.3169755
373,خواجه,Khajeh,1,38.1529122,46.5827856
374,کندرود,Kond Rud,1,38.0098531,46.479017
375,قره آغاج,Qara-aghaj,1,37.1283853,46.9745628
376,کوزه کنان,Kuzekonan,1,38.1865623,45.5751442
377,زنوز,Zonuz,1,38.5880287,45.8319818
378,نظرکهریزی,Nazarkahrizi,1,37.34697,46.7629592
379,بخشایش,Bakhshayesh,1,38.131648,46.9471214
380,سیه رود,Siyahrud,1,38.8693808,46.0023332
381,یامچی,Yamchi,1,38.5223144,45.6404499
382,خاروانا,Kharvana,1,38.6851329,46.1697582
383,خداجو,Khodaju,1,37.3127515,46.5310312
384,هریس,Heris,1,38.2472611,47.1162759
385,تیکمه داش,Tikmedash,1,37.7257203,46.9375589
386,تَرک,Tark,1,37.6162908,47.7709614
387,کشکسرای,Koshksaray,1,38.458553,45.5673225
388,آق کند,Aq kand,1,37.2575571,48.0648621
389,دوزدوزان,Duzduzan,1,37.948976,47.119787
390,چهاربرج,Chaharborj,2,37.1250023,45.9772001
391,سیمینه,Simineh,2,36.7303445,46.1534194
392,سیلوانا,Silvaneh,2,37.4216528,44.8543213
393,آواجیق,Avajiq,2,39.3301839,44.1538901
394,لاجان,Gherdakshaneh,2,36.8084866,45.264528
395,شوط,Showt,2,39.2178874,44.7711898
396,کشاورز,Keshavarz,2,36.8355495,46.3573777
397,فیرورق,Firuraq,2,38.5821035,44.8316495
398,ربط,Rabat,2,36.2092112,45.5542469
399,ماکو,Maku,2,39.2909641,44.4521379
400,دامنه,Damaneh,4,33.0178599,50.4893488
401,روانسر,Ravansar,22,34.7161309,46.6508369
402,اسحاق آباد,Eshaq Abad,11,36.0306501,59.006878
403,نوقاب,Noqab,11,34.3524545,58.7288281
404,گلمکان,Golmakan,11,36.4818235,59.1595291
405,حاجی آباد,Hajiabad,17,28.3590721,54.4206696
406,جویم,Juyom,17,28.2598958,53.9806139
407,بنارویه,Banaruiyeh,17,28.0832919,54.0467988
408,چنار,Chenar,11,36.6922062,59.9768356
409,اختیارآباد,Ekhtiarabad,21,30.3276538,56.9247177
410,بشرویه,Boshruyeh,10,33.8662098,57.4253814
411,یزد,Yazd,31,31.9052223,54.3701235
412,مزرعه کتول,Mazraeh,24,36.9548473,54.858326
413,روشناوند,Rushnavand,11,34.4666667,58.9116667
414,گنبد کاووس,Gonbad-e Qabus,24,37.2492965,55.1659018
415,امام شهر,Emamshahr,17,28.4467257,53.1528552
416,نافچ,Nafch,9,32.4228214,50.7896658
417,سودجان,Sodejan,9,32.5215922,50.4018883
418,افوس,Afus,4,33.0240732,50.0929526
419,سراب,Sarab,1,37.9407851,47.5374867
420,بافق,Bafq,31,31.5997065,55.3966892
421,جلفا,Jolfa,1,38.9376054,45.6252101
