village_id,name_fa,name_en,city_id,latitude,longitude
18798,دکلانلو,دکلانلو,419,38.0283689,47.8401544
18799,طغای,طغای,388,37.2101384,47.7370022
18800,قالوجه,قالوجه,388,37.2067092,47.711747
18801,گوگرچین لو,گوگرچین لو,388,37.2319851,47.6905028
18802,قویولار,قویولار,388,37.2116855,47.6437976
18803,بولانلیق,بولانلیق,388,37.1803284,47.6663353
18804,گلوجه یدی بلاغ,گلوجه یدی بلاغ,369,37.2110989,47.5563513
18805,زرده ملک,زرده ملک,369,37.2606303,47.5684908
18806,باللوجه,باللوجه,386,37.6461383,47.7164325
18807,سرخه حصار,سرخه حصار,386,37.6980974,47.692353
18808,نشق,نشق,386,37.6910189,47.6669953
18809,نقاآباد,نقاآباد,386,37.6714216,47.6641136
18810,برنجق,برنجق,386,37.5294379,47.6256952
18811,سرخه ریز,سرخه ریز,419,37.969665,47.7173541
18812,شوره دل,شوره دل,419,37.9168482,47.6753404
18813,اسبگران,اسبگران,419,37.9040774,47.6222796
18814,تکلدان,تکلدان,419,37.9055473,47.6030498
18815,گنبدان,گنبدان,419,37.8966031,47.5929932
18816,اشتجران,Eshtajaran,419,37.9001366,47.5614075
18817,قشلاق,قشلاق,419,37.8730235,47.5113479
18818,هولیق,Huliq,419,37.8507772,47.5575052
18819,پرکاب,پرکاب,419,37.7866071,47.5141314
18820,صومعه ملکشاه,صومعه حق,419,37.7852078,47.5249086
18821,مهین,مهین,419,37.8181415,47.5651137
18822,ایدرشان,ایدرشان,419,37.7936401,47.5749948
18823,حسنجان,حسنجان,419,37.8628167,47.6659022
18824,جلده باخان,جلده باخان,419,37.8332137,47.6789017
18825,ملایعقوب,ملایعقوب,419,37.8718953,47.7017297
18826,عبدالله آباد,عبدالله آباد,419,37.8689503,47.745096
18827,میرکوه سلطان,Mir Kuh-e Olya,419,38.0754213,47.5068827
18828,میرکوه حاجی,میرکوه حاجی سفلی,419,38.0307359,47.5030448
18829,اسبقران,اسبقران,419,38.0201598,47.5043089
18830,ابرس,ابرس,419,38.0061499,47.5104779
18831,میرکوه علی میرزا,میرکوه وسطی,419,38.0603633,47.5438081
18832,دیزج سفید,دیزج سفید,419,38.0481843,47.5598374
18833,اسطلو لجبین,Estelu,419,38.0712865,47.5807002
18834,گواشین,گواشین,419,38.0185894,47.5881088
18835,قورخود,قورخود,419,38.0522572,47.6225762
18836,صومعه زرین,صومعه زرین,419,38.0226223,47.676911
18837,چله خانه,چله خانه,419,38.0371611,47.6926897
18838,دراب,دراب,419,38.0167539,47.7466961
18839,قره مسجد,قره مسجد,419,38.0493999,47.7469804
18840,بال داغی,بال داغی,372,38.9744827,47.5602101
18841,هلان صفرعلی,هلان صفرعلی,372,38.9624555,47.5188922
18842,باروت آغاجی,باروت آغاجی,375,36.9200613,47.310845
18843,اغچه مشهد,اغچه مشهد,375,37.2273695,47.3867499
18844,حصار,حصار,375,37.1918096,47.3338939
18845,شال,شال,369,37.3429513,47.3465801
18846,تلیم کندی,تلیم کندی,369,37.3174827,47.4151851
18847,اغ طورق,اغ طورق,369,37.3144699,47.3697776
18848,الله داد,الله داد,369,37.2979692,47.3455931
18849,زرشلو,زرشلو,369,37.2889952,47.3035488
18850,عجمی کله بوز,عجمی کله بوز,369,37.263087,47.363289
18851,چخمور,چخمور,369,37.2662245,47.4011821
18852,تندرلو,Tanderlou,369,37.7196583,47.267133
18853,قره جه قیه,Qarehjah Qayah,369,37.5975079,47.2964916
18854,شیخ احمدلو,شیخ احمدلو,369,37.5764219,47.311392
18855,جیران بلاغی,جیران بلاغی,369,37.5619963,47.3249604
18856,اورنجق,اورنجق,369,37.548623,47.3955765
18857,آلاتیمور,آلاتیمور,369,37.5040305,47.2944163
18858,احمدآبادعلیا,احمدآبادعلیا,419,37.8427758,47.3772024
18859,احمدآبادسفلی,احمدآبادسفلی,419,37.8495429,47.3823739
18860,قزلجه اکراد,قزلجه اکراد,699,37.8422278,47.2744662
18861,قارقا,قارقا,699,37.7808392,47.3224361
18862,سرانسر,سرانسر,419,37.8772713,47.4820102
18863,اله حق,اله حق,419,37.7900465,47.4886353
18864,قره قیه,قره قیه,419,38.0592566,47.4700816
18865,چوللو,چوللو,419,38.0289445,47.4541138
18866,ساری قیه,ساری قیه,419,38.0787486,47.4319457
18867,نرمیق,نرمیق,384,38.1776308,47.3342194
18868,قره بلاغ,قره بلاغ,368,38.1354331,47.3483574
18869,انباق جواد,انباق جواد,384,38.4864546,47.2636787
18870,ریحال,ریحال,384,38.4619149,47.2760204
18871,کوربلاغ,کوربلاغ,384,38.4249968,47.3121777
18872,زگلیک کوربلاغ,زگلیک کوربلاغ,384,38.4284491,47.3480377
18873,تازه کند شاهوردی,تازه کند شاهوردی,384,38.4296565,47.2453155
18874,اللو,اللو,384,38.3570015,47.334649
18875,کرملو,کرملو,384,38.3964224,47.4249141
18876,شیران,شیران,384,38.2670553,47.2797046
18877,خلیفه لو,خلیفه لو,84,38.6774629,47.2664028
18878,ایدین لو,ایدین لو,84,38.6662666,47.3142966
18879,لقمان,لقمان,84,38.6897637,47.3369509
18880,سنگرآباد,سنگرآباد,84,38.7242373,47.2952478
18881,کنده,کنده,84,38.727404,47.2644171
18882,نوانسر,نوانسر,372,38.7114179,47.4387151
18883,دوشدور,دوشدور,384,38.564044,47.4958413
18884,اق بلاغ,اق بلاغ,84,38.6092711,47.3305907
18885,زردخانه,زردخانه,84,38.5877019,47.2814488
18886,لیملو,لیملو,84,38.6263709,47.2916648
18887,چل قشلاقی,چل قشلاقی,384,38.5111809,47.3176688
18888,قشلاق حاج اوغلو,قشلاق حاج اوغلو,384,38.5331036,47.4098673
18889,پیراسمیلو,پیراسمیلو,372,38.9985734,47.3351669
18890,هوین,هوین,372,38.9936667,47.3575797
18891,تین,تین,372,38.9717247,47.3459559
18892,گورم درق,گورم درق,372,38.9684332,47.3692136
18893,ارمک,ارمک,372,38.9547392,47.3551806
18894,خوی سورق,خوی سورق,372,38.9506574,47.3645354
18895,توبین,توبین,372,38.9828253,47.3796621
18896,ملالو,ملالو,372,38.9934361,47.3864486
